Date,Open,High,Low,Close,Volume,Open Interest
2018-05-02,20440.0,20440.0,20400.0,20440.0,12.0,12.0
2018-05-01,0.0,0.0,0.0,19850.0,0.0,0.0
2018-04-30,20580.0,20580.0,20350.0,20090.0,576.0,648.0
2018-04-27,20540.0,20590.0,20510.0,20570.0,413.0,752.0
2018-04-26,20600.0,20670.0,20500.0,20590.0,1040.0,866.0
2018-04-25,20460.0,20630.0,20360.0,20600.0,2209.0,1346.0
2018-04-24,20770.0,20780.0,20500.0,20520.0,1873.0,2321.0
2018-04-23,20850.0,20950.0,20820.0,20850.0,1776.0,3265.0
2018-04-20,20650.0,20890.0,20610.0,20810.0,1792.0,4026.0
2018-04-19,20630.0,20640.0,20550.0,20630.0,1091.0,4461.0
2018-04-18,20770.0,20830.0,20500.0,20650.0,2188.0,4894.0
2018-04-17,20910.0,20940.0,20720.0,20730.0,1686.0,5698.0
2018-04-16,20840.0,20980.0,20820.0,20910.0,1979.0,6306.0
2018-04-13,20840.0,20940.0,20780.0,20870.0,1235.0,7145.0
2018-04-12,20770.0,20890.0,20750.0,20780.0,2051.0,7304.0
2018-04-11,20730.0,20800.0,20670.0,20770.0,1485.0,7361.0
2018-04-10,20670.0,20790.0,20590.0,20730.0,1444.0,7574.0
2018-04-09,20660.0,20680.0,20530.0,20660.0,899.0,7494.0
2018-04-06,20580.0,20680.0,20500.0,20620.0,1756.0,7517.0
2018-04-05,20330.0,20520.0,20310.0,20490.0,1668.0,7631.0
2018-04-04,20640.0,20680.0,20150.0,20330.0,4198.0,7678.0
2018-04-03,20710.0,20710.0,20530.0,20610.0,1152.0,7820.0
2018-04-02,20500.0,20700.0,20500.0,20620.0,1979.0,7784.0
2018-03-29,20470.0,20500.0,20420.0,20430.0,324.0,7635.0
2018-03-28,20370.0,20610.0,20370.0,20450.0,1835.0,7522.0
2018-03-27,20140.0,20290.0,20090.0,20210.0,1804.0,926.0
2018-03-26,19980.0,20120.0,19930.0,20100.0,2210.0,1427.0
2018-03-23,20130.0,20190.0,19990.0,20000.0,1834.0,2306.0
2018-03-22,20260.0,20300.0,20130.0,20160.0,1591.0,3085.0
2018-03-21,20250.0,20380.0,20190.0,20340.0,2081.0,3797.0
2018-03-20,19950.0,20270.0,19850.0,20140.0,3345.0,4427.0
2018-03-19,20290.0,20360.0,19970.0,20020.0,3710.0,5339.0
2018-03-16,20420.0,20520.0,20310.0,20340.0,2264.0,6200.0
2018-03-15,20550.0,20610.0,20400.0,20430.0,2329.0,6629.0
2018-03-14,20680.0,20740.0,20480.0,20510.0,3283.0,7091.0
2018-03-13,20610.0,20740.0,20520.0,20660.0,2262.0,7701.0
2018-03-12,20920.0,20990.0,20600.0,20640.0,2370.0,7631.0
2018-03-09,20910.0,21030.0,20880.0,20940.0,2228.0,7480.0
2018-03-08,20750.0,20990.0,20750.0,20960.0,2655.0,7476.0
2018-03-07,20700.0,20820.0,20620.0,20710.0,3347.0,7451.0
2018-03-06,21240.0,21280.0,20740.0,20850.0,4958.0,7420.0
2018-03-05,20690.0,20950.0,20660.0,20860.0,2556.0,7535.0
2018-03-02,20620.0,20750.0,20600.0,20620.0,592.0,7374.0
2018-03-01,20630.0,20840.0,20530.0,20580.0,3523.0,7255.0
2018-02-28,20450.0,20690.0,20440.0,20640.0,4178.0,7544.0
2018-02-27,20240.0,20290.0,20110.0,20170.0,837.0,1283.0
2018-02-26,20100.0,20350.0,20090.0,20230.0,1843.0,1286.0
2018-02-23,20050.0,20060.0,19860.0,20000.0,2078.0,1678.0
2018-02-22,20070.0,20140.0,20010.0,20030.0,2435.0,2127.0
2018-02-21,19990.0,20210.0,19930.0,20010.0,3726.0,2926.0
2018-02-20,19500.0,20000.0,19460.0,19900.0,3917.0,4011.0
2018-02-19,19550.0,19590.0,19400.0,19440.0,2941.0,5572.0
2018-02-16,19540.0,19640.0,19410.0,19510.0,2192.0,6861.0
